"","Fecha.y.Hora","Magnitud","Profundidad","Ubicacion","Longitud","Latitud","Año","Pais","Mes","Hora","Dia.Semana","Zona.de.referencia"
"1",2010-12-30 16:35:33,4.1,109,"24 km al norte de Provincia de Nazca, Ica, Perú ",-74.98,-14.62,2010,"peru",12,16,"jueves","Provincia de Nazca, Ica, Perú"
"2",2010-12-21 20:04:47,4.7,187,"16 km al sureste de Vilavila, Provincia de Lampa, Puno, Perú ",-70.587,-15.31,2010,"peru",12,20,"martes","Vilavila, Provincia de Lampa, Puno, Perú"
"3",2010-12-19 07:43:52,4.5,108,"46 km al suroeste de Yauri, Provincia de Espinar, Cusco, Perú ",-71.732,-15.069,2010,"peru",12,7,"domingo","Yauri, Provincia de Espinar, Cusco, Perú"
"4",2010-12-18 13:07:52,4.3,124,"7.6 km al noroeste de Chuñune, Provincia de Caylloma, Arequipa, Perú ",-71.553,-15.284,2010,"peru",12,13,"sábado","Chuñune, Provincia de Caylloma, Arequipa, Perú"
"5",2010-12-17 22:14:26,4.8,568,"85 km al suroeste de Tarauaca, Estado de Acre, Brasil ",-71.46,-8.501,2010,"peru",12,22,"viernes","Tarauaca, Estado de Acre, Brasil"
"6",2010-12-17 20:34:24,4.8,72,"30 km al noreste de Ilo, Departamento de Moquegua, Perú ",-71.103,-17.481,2010,"peru",12,20,"viernes","Ilo, Departamento de Moquegua, Perú"
"7",2010-12-16 07:11:58,4.8,114,"19 km al este de Huao, Atalaya, Ucayali, Perú ",-73.459,-10.786,2010,"peru",12,7,"jueves","Huao, Atalaya, Ucayali, Perú"
"8",2010-12-15 18:22:23,4.8,137,"168 km al suroeste de La Paz, Bolivia ",-69.143,-17.679,2010,"peru",12,18,"miércoles","La Paz, Bolivia"
"9",2010-12-13 13:05:30,4,90,"68 km al noreste de Sargento Puño, Datem del Marañón, Loreto, Perú ",-77.138,-2.825,2010,"peru",12,13,"lunes","Sargento Puño, Datem del Marañón, Loreto, Perú"
"10",2010-12-11 08:43:40,4.7,37,"Océano Pacífico Sur, 40 km al suroeste de Ilo, Departamento de Moquegua, Perú ",-71.682,-17.777,2010,"peru",12,8,"sábado","Ilo, Departamento de Moquegua, Perú"
"11",2010-12-07 04:14:39,4,123,"Provincia de General Sanchez Cerro, 36 km al noroeste de Moquegua, Perú ",-71.13,-16.93,2010,"peru",12,4,"martes","Moquegua, Perú"
"12",2010-11-29 07:55:49,4.8,1,"0.4 km al noreste de Mocoro, Arequipa, Perú ",-71.86,-16.41,2010,"peru",11,7,"lunes","Mocoro, Arequipa, Perú"
"13",2010-11-28 14:49:22,4.3,114,"4 km al noroeste de Yauri, Provincia de Espinar, Cusco, Perú ",-71.429,-14.76,2010,"peru",11,14,"domingo","Yauri, Provincia de Espinar, Cusco, Perú"
"14",2010-11-28 07:57:35,4.8,35,"Canton Santa Ana, 2.4 km al este de Sucre, Ecuador ",-80.397,-1.281,2010,"peru",11,7,"domingo","Sucre, Ecuador"
"15",2010-11-27 10:13:15,4.1,102,"Provincia de Yauyos, Lima region, 56 km al suroeste de Jauja, Junin, Perú ",-75.86,-12.13,2010,"peru",11,10,"sábado","Jauja, Junin, Perú"
"16",2010-11-25 18:16:53,4.1,124,"Provincia de General Sanchez Cerro, Departamento de Moquegua, 63 km al este de Arequipa, Perú ",-70.944,-16.456,2010,"peru",11,18,"jueves","Arequipa, Perú"
"17",2010-11-25 04:19:41,4.5,43,"22 km al sureste de Muisne, Provincia de Esmeraldas, Ecuador ",-79.92,0.443,2010,"peru",11,4,"jueves","Muisne, Provincia de Esmeraldas, Ecuador"
"18",2010-11-24 22:08:34,4.8,38,"34 km al oeste de Yauri, Provincia de Espinar, Cusco, Perú ",-71.715,-14.861,2010,"peru",11,22,"miércoles","Yauri, Provincia de Espinar, Cusco, Perú"
"19",2010-11-22 10:24:14,4.4,101,"Provincia del Carchi, 25 km al oeste de Cañar, Provincia de Cañar, Ecuador ",-79.153,-2.628,2010,"peru",11,10,"lunes","Cañar, Provincia de Cañar, Ecuador"
"20",2010-11-22 08:35:13,4.6,33,"Océano Pacífico Sur, 76 km al suroeste de Puerto Viejo, Perú ",-74.57,-16.43,2010,"peru",11,8,"lunes","Puerto Viejo, Perú"
"21",2010-11-21 02:24:30,4.1,35,"Océano Pacífico Sur, 49 km al suroeste de Huarmey, Ancash, Perú ",-78.477,-10.37,2010,"peru",11,2,"domingo","Huarmey, Ancash, Perú"
"22",2010-11-19 01:42:52,4.2,131,"Departamento de La Paz, Bolivia, 97 km al noreste de Tacna, Perú ",-69.434,-17.628,2010,"peru",11,1,"viernes","Tacna, Perú"
"23",2010-11-18 10:03:21,4.7,52,"27 km al norte de Paita, Piura, Perú ",-81.148,-4.846,2010,"peru",11,10,"jueves","Paita, Piura, Perú"
"24",2010-11-18 01:31:51,4.4,25,"Océano Pacífico Sur, 58 km al sureste de San Juan de Marcona, Perú ",-74.735,-15.684,2010,"peru",11,1,"jueves","San Juan de Marcona, Perú"
"25",2010-11-17 19:38:01,4.2,29,"Océano Pacífico Sur, 48 km al sureste de San Juan de Marcona, Perú ",-74.87,-15.692,2010,"peru",11,19,"miércoles","San Juan de Marcona, Perú"
"26",2010-11-17 19:36:33,4.3,29,"Océano Pacífico Sur, 43 km al sureste de San Juan de Marcona, Perú ",-74.863,-15.626,2010,"peru",11,19,"miércoles","San Juan de Marcona, Perú"
"27",2010-11-10 11:33:09,4.4,45,"Océano Pacífico Sur, 45 km al suroeste de Santiago de Surco, Lima, Perú ",-77.24,-12.47,2010,"peru",11,11,"miércoles","Santiago de Surco, Lima, Perú"
"28",2010-11-09 02:09:54,4.2,134,"Provincia de Caylloma, Arequipa, 31 km al sur de Yauri, Perú ",-71.383,-15.07,2010,"peru",11,2,"martes","Yauri, Perú"
"29",2010-11-06 10:28:54,4.7,54,"Océano Pacífico Sur, 47 km al sur de Camana, Arequipa, Perú ",-72.657,-17.04,2010,"peru",11,10,"sábado","Camana, Arequipa, Perú"
"30",2010-11-03 10:45:22,4.8,38,"5.9 km al este de Villa Tupac Amaru, Provincia de Pisco, Ica, Perú ",-76.097,-13.699,2010,"peru",11,10,"miércoles","Villa Tupac Amaru, Provincia de Pisco, Ica, Perú"
"31",2010-11-01 00:40:56,4.3,33,"Océano Pacífico Sur, 47 km al oeste de Huacho, Perú ",-78.02,-11.22,2010,"peru",11,0,"lunes","Huacho, Perú"
"32",2010-10-30 09:53:59,4.8,617,"55 km al oeste de Tarauaca, Estado de Acre, Brasil ",-71.228,-7.978,2010,"peru",10,9,"sábado","Tarauaca, Estado de Acre, Brasil"
"33",2010-10-26 18:55:45,4.5,44,"Océano Pacífico Sur, 103 km al oeste de Trujillo, La Libertad, Perú ",-79.96,-8.249,2010,"peru",10,18,"martes","Trujillo, La Libertad, Perú"
"34",2010-10-26 18:24:42,4.5,38,"Océano Pacífico Sur, 105 km al oeste de Trujillo, La Libertad, Perú ",-79.945,-8.375,2010,"peru",10,18,"martes","Trujillo, La Libertad, Perú"
"35",2010-10-23 12:43:12,4.2,21,"Océano Pacífico Sur, 90 km al sur de Ilo, Departamento de Moquegua, Perú ",-71.513,-18.42,2010,"peru",10,12,"sábado","Ilo, Departamento de Moquegua, Perú"
"36",2010-10-22 08:26:23,4.9,31,"Océano Pacífico Sur, 60 km al suroeste de Vila Vila, Tacna, Perú ",-71.218,-18.383,2010,"peru",10,8,"viernes","Vila Vila, Tacna, Perú"
"37",2010-10-22 00:29:39,4,39,"Océano Pacífico Sur, 319 km al noroeste de Lima, Perú ",-79.3,-10.236,2010,"peru",10,0,"viernes","Lima, Perú"
