Fecha y Hora,Magnitud,Profundidad,Ubicacion,Longitud,Latitud,Año,Pais
30 Dec 2010 16:35:33 GMT,4.1,109 km,"24 km al norte de Provincia de Nazca, Ica, Perú ",-74.98,-14.62,2010,peru
21 Dec 2010 20:04:47 GMT,4.7,187 km,"16 km al sureste de Vilavila, Provincia de Lampa, Puno, Perú ",-70.587,-15.31,2010,peru
19 Dec 2010 07:43:52 GMT,4.5,108 km,"46 km al suroeste de Yauri, Provincia de Espinar, Cusco, Perú ",-71.732,-15.069,2010,peru
18 Dec 2010 13:07:52 GMT,4.3,124 km,"7.6 km al noroeste de Chuñune, Provincia de Caylloma, Arequipa, Perú ",-71.553,-15.284,2010,peru
17 Dec 2010 22:14:26 GMT,4.8,568 km,"85 km al suroeste de Tarauaca, Estado de Acre, Brasil ",-71.46,-8.501,2010,peru
17 Dec 2010 20:34:24 GMT,4.8,72 km,"30 km al noreste de Ilo, Departamento de Moquegua, Perú ",-71.103,-17.481,2010,peru
16 Dec 2010 07:11:58 GMT,4.8,114 km,"19 km al este de Huao, Atalaya, Ucayali, Perú ",-73.459,-10.786,2010,peru
15 Dec 2010 18:22:23 GMT,4.8,137 km,"168 km al suroeste de La Paz, Bolivia ",-69.143,-17.679,2010,peru
13 Dec 2010 13:05:30 GMT,4.0,90 km,"68 km al noreste de Sargento Puño, Datem del Marañón, Loreto, Perú ",-77.138,-2.825,2010,peru
11 Dec 2010 08:43:40 GMT,4.7,37 km,"Océano Pacífico Sur, 40 km al suroeste de Ilo, Departamento de Moquegua, Perú ",-71.682,-17.777,2010,peru
7 Dec 2010 04:14:39 GMT,4.0,123 km,"Provincia de General Sanchez Cerro, 36 km al noroeste de Moquegua, Perú ",-71.13,-16.93,2010,peru
29 Nov 2010 07:55:49 GMT,4.8,1 km,"0.4 km al noreste de Mocoro, Arequipa, Perú ",-71.86,-16.41,2010,peru
28 Nov 2010 14:49:22 GMT,4.3,114 km,"4 km al noroeste de Yauri, Provincia de Espinar, Cusco, Perú ",-71.429,-14.76,2010,peru
